2024-02-24 13:15:29,125 | cli | INFO | Cleared all stats for new session.
2024-02-24 13:15:29,125 | topics | INFO | new:topic baudspeed
2024-02-24 13:15:29,125 | topics | INFO | new:topic baudspeed_avg
2024-02-24 13:15:29,126 | topics | INFO | new:topic rx_in_waiting
2024-02-24 13:15:29,126 | topics | INFO | new:topic rx_in_waiting_max
2024-02-24 13:15:29,126 | topics | INFO | new:topic rx_in_waiting_avg
2024-02-24 13:15:29,126 | cli | WARNING | Failed to connect to IOUSBHostDevice at 9600 (bauds). E : 

2024-02-24 13:16:43,460 | cli | WARNING | Already disconnected. Continuing happily.
2024-02-24 13:16:43,461 | cli | INFO | Application quit.
